番号,latitude,longitude,施設名,種別,確保水量（立方メートル）,所在地,詳細画像,情報更新日,備考
158,35.747356,139.458482,八坂給水所,浄水場・給水所,20000,東京都東村山市富士見町5-4-46,http://www.waterworks.metro.tokyo.jp/kurashi/shinsai/img/157.jpg,平成27年7月9日,［住所］富士見町5-4-46
159,35.7532331,139.458674,東村山浄水場,浄水場・給水所,36000,東京都東村山市美住町2-20-236,http://www.waterworks.metro.tokyo.jp/kurashi/shinsai/img/158.jpg,平成27年7月9日,［住所］美住町2-20-236
160,35.7555303,139.461554,美住給水所,浄水場・給水所,0,東京都東村山市美住町2-13-4,http://www.waterworks.metro.tokyo.jp/kurashi/shinsai/img/159.jpg,平成27年7月9日,美住給水所は、工事のため平成25年5月10日から運用を停止します。［住所］美住町2-13-4
161,35.755546,139.488921,市立東村山運動公園,震災対策用応急給水槽（1500立方メートル槽）,1500,東京都東村山市恩多町1-9-5,http://www.waterworks.metro.tokyo.jp/kurashi/shinsai/img/160.jpg,平成27年7月9日,［住所］恩多町1-9-5
162,35.7065051,139.476399,東恋ケ窪浄水所,浄水場・給水所,1220,東京都国分寺市東恋ケ窪2-5-8,http://www.waterworks.metro.tokyo.jp/kurashi/shinsai/img/161.jpg,平成27年7月9日,［住所］東恋ケ窪2-5-8
163,35.721054,139.45038,国分寺北町第二浄水所,浄水場・給水所,5800,東京都国分寺市北町4-1-5,http://www.waterworks.metro.tokyo.jp/kurashi/shinsai/img/162.jpg,平成27年7月9日,［住所］北町4-1-5
164,35.688163,139.442608,国立中浄水所,浄水場・給水所,2000,東京都国立市中3-8-1,http://www.waterworks.metro.tokyo.jp/kurashi/shinsai/img/163.jpg,平成27年7月9日,［住所］中3-8-1
165,35.6779939,139.440914,谷保浄水所,浄水場・給水所,2000,東京都国立市谷保1462-1,http://www.waterworks.metro.tokyo.jp/kurashi/shinsai/img/164.jpg,平成27年7月9日,［住所］谷保1462-1
166,35.7337671,139.524477,芝久保浄水所,浄水場・給水所,6030,東京都西東京市芝久保町5-9-1,http://www.waterworks.metro.tokyo.jp/kurashi/shinsai/img/165.jpg,平成27年7月9日,［住所］芝久保町5-9-1
167,35.7354513,139.554782,保谷町浄水所,浄水場・給水所,2910,東京都西東京市保谷町1-5-24,http://www.waterworks.metro.tokyo.jp/kurashi/shinsai/img/166.jpg,平成27年7月9日,［住所］保谷町1-5-24
168,35.7516771,139.552224,西東京栄町浄水所,浄水場・給水所,1000,東京都西東京市栄町2-7-6,http://www.waterworks.metro.tokyo.jp/kurashi/shinsai/img/167.jpg,平成27年7月9日,［住所］栄町2-7-6
